Date,State,Confirmed
2020-03-20,Uttarakhand,3
2020-03-20,West Bengal,2
2020-03-21,Andhra Pradesh,3
2020-03-21,Chandigarh,1
2020-03-21,Chhattisgarh,1
2020-03-21,Delhi,26
2020-03-21,Gujarat,7
2020-03-21,Haryana,17
2020-03-21,Himachal Pradesh,2
2020-03-21,Jammu and Kashmir,4
2020-03-21,Karnataka,15
2020-03-21,Kerala,40
2020-03-21,Ladakh,13
2020-03-21,Madhya Pradesh,4
2020-03-21,Maharashtra,63
2020-03-21,Odisha,2
2020-03-21,Puducherry,1
2020-03-21,Punjab,13
2020-03-21,Rajasthan,17
2020-03-21,Tamil Nadu,3
2020-03-21,Telengana,21
2020-03-21,Uttar Pradesh,24
2020-03-21,Uttarakhand,3
2020-03-21,West Bengal,3
2020-03-22,Andhra Pradesh,5
2020-03-22,Bihar,2
2020-03-22,Chandigarh,5
2020-03-22,Chhattisgarh,1
2020-03-22,Delhi,29
2020-03-22,Gujarat,18
2020-03-22,Haryana,21
2020-03-22,Himachal Pradesh,2
2020-03-22,Jammu and Kashmir,4
2020-03-22,Karnataka,26
2020-03-22,Kerala,52
2020-03-22,Ladakh,13
2020-03-22,Madhya Pradesh,4
2020-03-22,Maharashtra,67
2020-03-22,Odisha,2
2020-03-22,Puducherry,1
2020-03-22,Punjab,21
2020-03-22,Rajasthan,24
2020-03-22,Tamil Nadu,7
2020-03-22,Telengana,22
2020-03-22,Uttar Pradesh,27
2020-03-22,Uttarakhand,3
2020-03-22,West Bengal,4
2020-03-23,Andhra Pradesh,7
2020-03-23,Bihar,2
2020-03-23,Chandigarh,6
2020-03-23,Chhattisgarh,1
2020-03-23,Delhi,29
2020-03-23,Gujarat,29
2020-03-23,Haryana,26
2020-03-23,Himachal Pradesh,2
2020-03-23,Jammu and Kashmir,4
2020-03-23,Karnataka,33
2020-03-23,Kerala,67
2020-03-23,Ladakh,13
2020-03-23,Madhya Pradesh,6
2020-03-23,Maharashtra,74
2020-03-23,Odisha,2
2020-03-23,Puducherry,1
2020-03-23,Punjab,21
2020-03-23,Rajasthan,28
2020-03-23,Tamil Nadu,9
2020-03-23,Telengana,32
2020-03-23,Uttar Pradesh,31
2020-03-23,Uttarakhand,3
2020-03-23,West Bengal,7
2020-03-24,Andhra Pradesh,8
2020-03-24,Bihar,3
2020-03-24,Chandigarh,7
2020-03-24,Chhattisgarh,1
2020-03-24,Delhi,30
2020-03-24,Gujarat,33
2020-03-24,Haryana,28
2020-03-24,Himachal Pradesh,3
2020-03-24,Jammu and Kashmir,4
2020-03-24,Karnataka,37
2020-03-24,Kerala,95
2020-03-24,Ladakh,13
2020-03-24,Madhya Pradesh,7
2020-03-24,Maharashtra,89
2020-03-24,Manipur,1
2020-03-24,Odisha,2
2020-03-24,Puducherry,1
2020-03-24,Punjab,29
2020-03-24,Rajasthan,32
2020-03-24,Tamil Nadu,15
2020-03-24,Telengana,35
2020-03-24,Uttar Pradesh,33
2020-03-24,Uttarakhand,4
2020-03-24,West Bengal,9
2020-03-25,Andhra Pradesh,9
2020-03-25,Bihar,4
2020-03-25,Chandigarh,7
2020-03-25,Chhattisgarh,1
2020-03-25,Delhi,31
2020-03-25,Gujarat,38
2020-03-25,Haryana,28
2020-03-25,Himachal Pradesh,3
2020-03-25,Jammu and Kashmir,7
2020-03-25,Karnataka,41
2020-03-25,Kerala,109
2020-03-25,Ladakh,13
2020-03-25,Madhya Pradesh,14
2020-03-25,Maharashtra,128
2020-03-25,Manipur,1
2020-03-25,Mizoram,1
2020-03-25,Odisha,2
2020-03-25,Puducherry,1
2020-03-25,Punjab,29
2020-03-25,Rajasthan,36
2020-03-25,Tamil Nadu,18
2020-03-25,Telengana,35
2020-03-25,Uttar Pradesh,37
2020-03-25,Uttarakhand,4
2020-03-25,West Bengal,9
2020-03-26,Andaman and Nicobar Islands,1
2020-03-26,Andhra Pradesh,11
2020-03-26,Bihar,6
2020-03-26,Chandigarh,7
2020-03-26,Chhattisgarh,6
2020-03-26,Delhi,36
2020-03-26,Goa,3
2020-03-26,Gujarat,43
2020-03-26,Haryana,30
2020-03-26,Himachal Pradesh,3
2020-03-26,Jammu and Kashmir,13
2020-03-26,Karnataka,55
2020-03-26,Kerala,118
2020-03-26,Ladakh,13
2020-03-26,Madhya Pradesh,20
2020-03-26,Maharashtra,124
2020-03-26,Manipur,1
2020-03-26,Mizoram,1
2020-03-26,Odisha,2
2020-03-26,Puducherry,1
2020-03-26,Punjab,33
2020-03-26,Rajasthan,41
2020-03-26,Tamil Nadu,26
2020-03-26,Telengana,44
2020-03-26,Uttar Pradesh,41
2020-03-26,Uttarakhand,5
2020-03-26,West Bengal,10
2020-03-27,Andaman and Nicobar Islands,1
2020-03-27,Andhra Pradesh,12
2020-03-27,Bihar,6
2020-03-27,Chandigarh,7
2020-03-27,Chhattisgarh,6
2020-03-27,Delhi,36
2020-03-27,Goa,3
2020-03-27,Gujarat,43
2020-03-27,Haryana,30
2020-03-27,Himachal Pradesh,3
2020-03-27,Jammu and Kashmir,13
2020-03-27,Karnataka,55
2020-03-27,Kerala,137
2020-03-27,Ladakh,13
2020-03-27,Madhya Pradesh,20
2020-03-27,Maharashtra,130
2020-03-27,Manipur,1
2020-03-27,Mizoram,1
2020-03-27,Odisha,2
2020-03-27,Puducherry,1
2020-03-27,Punjab,33
2020-03-27,Rajasthan,41
2020-03-27,Tamil Nadu,29
2020-03-27,Telengana,45
2020-03-27,Uttar Pradesh,41
2020-03-27,Uttarakhand,5
2020-03-27,West Bengal,10
2020-03-28,Andaman and Nicobar Islands,6
2020-03-28,Andhra Pradesh,14
2020-03-28,Bihar,9
2020-03-28,Chandigarh,8
2020-03-28,Chhattisgarh,6
2020-03-28,Delhi,39
2020-03-28,Goa,3
2020-03-28,Gujarat,45
2020-03-28,Haryana,33
2020-03-28,Himachal Pradesh,3
2020-03-28,Jammu and Kashmir,20
2020-03-28,Karnataka,55
2020-03-28,Kerala,176
2020-03-28,Ladakh,13
2020-03-28,Madhya Pradesh,30
2020-03-28,Maharashtra,180
2020-03-28,Manipur,1
2020-03-28,Mizoram,1
2020-03-28,Odisha,3
2020-03-28,Puducherry,1
2020-03-28,Punjab,38
2020-03-28,Rajasthan,54
2020-03-28,Tamil Nadu,40
2020-03-28,Telengana,56
2020-03-28,Uttar Pradesh,55
2020-03-28,Uttarakhand,5
2020-03-28,West Bengal,15
2020-03-29,Andaman and Nicobar Islands,9
2020-03-29,Andhra Pradesh,19
2020-03-29,Bihar,11
2020-03-29,Chandigarh,8
2020-03-29,Chhattisgarh,7
2020-03-29,Delhi,49
2020-03-29,Goa,5
2020-03-29,Gujarat,58
2020-03-29,Haryana,33
2020-03-29,Himachal Pradesh,3
2020-03-29,Jammu and Kashmir,31
2020-03-29,Karnataka,76
2020-03-29,Kerala,182
2020-03-29,Ladakh,13
2020-03-29,Madhya Pradesh,30
2020-03-29,Maharashtra,186
2020-03-29,Manipur,1
2020-03-29,Mizoram,1
2020-03-29,Odisha,3
2020-03-29,Puducherry,1
2020-03-29,Punjab,38
2020-03-29,Rajasthan,55
2020-03-29,Tamil Nadu,49
2020-03-29,Telengana,66
2020-03-29,Uttar Pradesh,65
2020-03-29,Uttarakhand,7
2020-03-29,West Bengal,18
2020-03-30,Andaman and Nicobar Islands,9
2020-03-30,Andhra Pradesh,23
2020-03-30,Bihar,15
2020-03-30,Chandigarh,8
2020-03-30,Chhattisgarh,7
2020-03-30,Delhi,87
2020-03-30,Goa,5
2020-03-30,Gujarat,69
2020-03-30,Haryana,36
2020-03-30,Himachal Pradesh,3
2020-03-30,Jammu and Kashmir,48
2020-03-30,Karnataka,83
2020-03-30,Kerala,202
2020-03-30,Ladakh,13
2020-03-30,Madhya Pradesh,47
2020-03-30,Maharashtra,198
2020-03-30,Manipur,1
2020-03-30,Mizoram,1
2020-03-30,Odisha,3
2020-03-30,Puducherry,1
2020-03-30,Punjab,38
2020-03-30,Rajasthan,59
2020-03-30,Tamil Nadu,67
2020-03-30,Telengana,71
2020-03-30,Unassigned,46
2020-03-30,Uttar Pradesh,82
2020-03-30,Uttarakhand,7
2020-03-30,West Bengal,22
2020-03-31,Andaman and Nicobar Islands,10
2020-03-31,Andhra Pradesh,40
2020-03-31,Bihar,15
2020-03-31,Chandigarh,13
2020-03-31,Chhattisgarh,8
2020-03-31,Delhi,97
2020-03-31,Goa,5
2020-03-31,Gujarat,73
2020-03-31,Haryana,40
2020-03-31,Himachal Pradesh,3
2020-03-31,Jammu and Kashmir,54
2020-03-31,Karnataka,83
2020-03-31,Kerala,234
2020-03-31,Ladakh,13
2020-03-31,Madhya Pradesh,47
2020-03-31,Maharashtra,216
2020-03-31,Manipur,1
2020-03-31,Mizoram,1
2020-03-31,Odisha,3
2020-03-31,Puducherry,1
2020-03-31,Punjab,41
2020-03-31,Rajasthan,74
2020-03-31,Tamil Nadu,74
2020-03-31,Telengana,79
2020-03-31,Unassigned,38
2020-03-31,Uttar Pradesh,101
2020-03-31,Uttarakhand,7
2020-03-31,West Bengal,26
2020-04-01,Andaman and Nicobar Islands,10
2020-04-01,Andhra Pradesh,83
2020-04-01,Assam,1
2020-04-01,Bihar,23
2020-04-01,Chandigarh,16
2020-04-01,Chhattisgarh,9
2020-04-01,Delhi,152
2020-04-01,Goa,5
2020-04-01,Gujarat,82
2020-04-01,Haryana,43
2020-04-01,Himachal Pradesh,3
2020-04-01,Jammu and Kashmir,62
2020-04-01,Jharkhand,1
2020-04-01,Karnataka,101
2020-04-01,Kerala,241
2020-04-01,Ladakh,13
2020-04-01,Madhya Pradesh,66
2020-04-01,Maharashtra,302
2020-04-01,Manipur,1
2020-04-01,Mizoram,1
2020-04-01,Odisha,4
2020-04-01,Puducherry,3
2020-04-01,Punjab,42
2020-04-01,Rajasthan,93
2020-04-01,Tamil Nadu,234
2020-04-01,Telengana,96
2020-04-01,Uttar Pradesh,103
2020-04-01,Uttarakhand,7
2020-04-01,West Bengal,37
2020-04-02,Andaman and Nicobar Islands,10
2020-04-02,Andhra Pradesh,86
2020-04-02,Assam,5
2020-04-02,Bihar,24
2020-04-02,Chandigarh,16
2020-04-02,Chhattisgarh,9
2020-04-02,Delhi,219
2020-04-02,Goa,5
2020-04-02,Gujarat,87
2020-04-02,Haryana,43
2020-04-02,Himachal Pradesh,3
2020-04-02,Jammu and Kashmir,62
2020-04-02,Jharkhand,1
2020-04-02,Karnataka,110
2020-04-02,Kerala,265
2020-04-02,Ladakh,13
2020-04-02,Madhya Pradesh,99
2020-04-02,Maharashtra,335
2020-04-02,Manipur,1
2020-04-02,Mizoram,1
2020-04-02,Odisha,4
2020-04-02,Puducherry,3
2020-04-02,Punjab,46
2020-04-02,Rajasthan,108
2020-04-02,Tamil Nadu,234
2020-04-02,Telengana,107
2020-04-02,Uttar Pradesh,113
2020-04-02,Uttarakhand,7
2020-04-02,West Bengal,53
2020-04-03,Andaman and Nicobar Islands,10
2020-04-03,Andhra Pradesh,132
2020-04-03,Arunachal Pradesh,1
2020-04-03,Assam,16
2020-04-03,Bihar,29
2020-04-03,Chandigarh,18
2020-04-03,Chhattisgarh,9
2020-04-03,Delhi,219
2020-04-03,Goa,6
2020-04-03,Gujarat,95
2020-04-03,Haryana,49
2020-04-03,Himachal Pradesh,6
2020-04-03,Jammu and Kashmir,75
2020-04-03,Jharkhand,2
2020-04-03,Karnataka,124
2020-04-03,Kerala,286
2020-04-03,Ladakh,14
2020-04-03,Madhya Pradesh,104
2020-04-03,Maharashtra,335
2020-04-03,Manipur,2
2020-04-03,Mizoram,1
2020-04-03,Odisha,5
2020-04-03,Puducherry,5
2020-04-03,Punjab,48
2020-04-03,Rajasthan,167
2020-04-03,Tamil Nadu,309
2020-04-03,Telengana,158
2020-04-03,Unassigned,77
2020-04-03,Uttar Pradesh,172
2020-04-03,Uttarakhand,10
2020-04-03,West Bengal,63
2020-04-04,Andaman and Nicobar Islands,10
2020-04-04,Andhra Pradesh,161
2020-04-04,Arunachal Pradesh,1
2020-04-04,Assam,24
2020-04-04,Bihar,30
2020-04-04,Chandigarh,18
2020-04-04,Chhattisgarh,9
2020-04-04,Delhi,445
2020-04-04,Goa,7
2020-04-04,Gujarat,105
2020-04-04,Haryana,49
2020-04-04,Himachal Pradesh,6
2020-04-04,Jammu and Kashmir,75
2020-04-04,Jharkhand,2
2020-04-04,Karnataka,128
2020-04-04,Kerala,295
2020-04-04,Ladakh,14
2020-04-04,Madhya Pradesh,104
2020-04-04,Maharashtra,490
2020-04-04,Manipur,2
2020-04-04,Mizoram,1
2020-04-04,Odisha,5
2020-04-04,Puducherry,5
2020-04-04,Punjab,57
2020-04-04,Rajasthan,200
2020-04-04,Tamil Nadu,411
2020-04-04,Telengana,159
2020-04-04,Uttar Pradesh,174
2020-04-04,Uttarakhand,16
2020-04-04,West Bengal,69
2020-04-05,Andaman and Nicobar Islands,10
2020-04-05,Andhra Pradesh,190
2020-04-05,Arunachal Pradesh,1
2020-04-05,Assam,26
2020-04-05,Bihar,30
2020-04-05,Chandigarh,18
2020-04-05,Chhattisgarh,9
