Month,State,Confirmed,Deaths
8,Uttar Pradesh,4685850,76014
8,Uttarakhand,378271,4874
8,West Bengal,3537564,73557
9,Andaman and Nicobar Islands,105810,1526
9,Andhra Pradesh,17176750,148944
9,Arunachal Pradesh,197031,333
9,Assam,4335647,14538
9,Bihar,4801561,24107
9,Chandigarh,248778,3082
9,Chhattisgarh,2092826,17146
9,Dadra and Nagar Haveli and Daman and Diu,82607,60
9,Delhi,6731275,144740
9,Goa,760198,9154
9,Gujarat,3472762,97007
9,Haryana,2903174,30467
9,Himachal Pradesh,306951,2912
9,Jammu and Kashmir,1670994,27623
9,Jharkhand,1898394,16841
9,Karnataka,14091783,220529
9,Kerala,3570633,14165
9,Ladakh,103672,1317
9,Madhya Pradesh,2795410,54514
9,Maharashtra,32562680,908307
9,Manipur,246402,1442
9,Meghalaya,118168,842
9,Mizoram,43451,0
9,Nagaland,150352,380
9,Odisha,4745144,19377
9,Puducherry,617996,11836
9,Punjab,2505864,73160
9,Rajasthan,3175975,37773
9,Sikkim,67229,525
9,Tamil Nadu,15325605,253029
9,Telengana,4834626,29542
9,Tripura,587855,6136
9,Uttar Pradesh,9533193,137626
9,Uttarakhand,1020048,12941
9,West Bengal,6232914,121453
10,Andaman and Nicobar Islands,126128,1726
10,Andhra Pradesh,23761413,195693
10,Arunachal Pradesh,392909,843
10,Assam,6094054,25918
10,Bihar,6219110,30432
10,Chandigarh,413597,6150
10,Chhattisgarh,4703616,44320
10,Dadra and Nagar Haveli and Daman and Diu,98092,62
10,Delhi,10043689,183237
10,Goa,1215357,16181
10,Gujarat,4823146,111533
10,Haryana,4547489,49872
10,Himachal Pradesh,566826,7974
10,Jammu and Kashmir,2657541,41776
10,Jharkhand,2915891,25154
10,Karnataka,22638497,315539
10,Kerala,9763929,33918
10,Ladakh,164948,2040
10,Madhya Pradesh,4737059,83096
10,Maharashtra,48150932,1269079
10,Manipur,451725,3335
10,Meghalaya,245694,2150
10,Mizoram,70950,3
10,Nagaland,233935,735
10,Odisha,8028959,33603
10,Puducherry,992159,17538
10,Punjab,3884110,120617
10,Rajasthan,5160860,52748
10,Sikkim,108197,1750
10,Tamil Nadu,20738004,322769
10,Telengana,6757114,38707
10,Tripura,895344,9961
10,Uttar Pradesh,13782962,201433
10,Uttarakhand,1742237,25739
10,West Bengal,9643839,181984
11,Andaman and Nicobar Islands,136011,1817
11,Andhra Pradesh,25514128,205684
11,Arunachal Pradesh,471321,1393
11,Assam,6299637,28742
11,Bihar,6762905,35354
11,Chandigarh,474722,7432
11,Chhattisgarh,6337321,76620
11,Dadra and Nagar Haveli and Daman and Diu,98782,60
11,Delhi,14388393,229820
11,Goa,1375118,19686
11,Gujarat,5660022,114396
11,Haryana,5973373,61413
11,Himachal Pradesh,895407,13656
11,Jammu and Kashmir,3069683,47493
11,Jharkhand,3173556,27715
11,Karnataka,25740356,345085
11,Kerala,15591120,55658
11,Ladakh,220551,2759
